,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
SPD_MarketForeignBuy_CSZ,0.0006175903255590719,7.698909242992377e-05,1.2667289318809647e-05,0.00011623331550987898,0.0008504323862688137,0.00018376939887827318
SPD_MarketIndividualBuy_CSR,0.0003455654329377938,2.780421046673268e-05,0.0,1.3313951010554694e-05,4.7669090118277526e-05,0.0
SPD_MarketIndividualBuy_CSZ,0.00043506565975238125,0.0001957158545416711,0.0,0.0001278994999782324,0.0015583093460360723,0.0
SPD_OverseaFlowTrend_CSZ,0.003141750378820951,0.0006455206361626825,0.0,0.0002632592038961741,0.0010384191158527964,0.0002696976293590302
SPD_FlowAccel_CSZ,0.01321958864023936,0.0020611632622029308,4.703304692289555e-05,0.004674233334602535,0.006267450357260523,0.00042381867720964623
BET_Beta60_CSZ,0.0008335037023038459,0.0001511793798791652,4.836172322096183e-05,0.00010593756221792171,0.000654638130682993,7.449421498243299e-05
BET_Beta60_SNZ,0.00038422367135281747,0.0,0.0,5.736724731299641e-05,0.00024351393960559108,9.239541976479533e-06
BET_RS25_CSZ,0.00010088527416457514,0.0,0.0,0.0,3.664719941133371e-05,0.0
BET_RS25_SNZ,1.431777797756171e-05,0.0,0.0,0.0,0.0,0.0
BET_MarketReturn_CSR,0.003690836859572048,0.00010702994400145996,0.00013170115148344609,0.00012143387039826673,0.0007627300784814659,0.0
BET_MarketReturn_CSZ,0.0015294855355776978,0.0008594313166588929,0.0,6.968530806027555e-05,0.0011897126284847086,0.00012942599079993357
BET_MarketReturn_SNZ,0.00016675494741343462,0.0,0.0,8.987168256634193e-05,3.794418239031631e-05,0.0
BET_MarketTrendIdx_CSR,0.0005340211732609868,0.0014656335881469266,0.0,0.00043366282539889146,0.0004735317055356769,1.219673205434355e-05
BET_MarketTrendIdx_CSZ,0.0003509865950813549,8.348407214422019e-05,0.0,0.00025604229065726285,0.00023966419381201467,8.366175396470946e-05
BET_MarketTrendIdx_SNZ,7.386160885947377e-05,0.0,0.0,0.0,7.364732028897921e-05,0.0
BET_MarketHV20_CSR,0.001852445564563514,6.630064022666059e-05,0.0,0.0,0.00013808717252055154,0.0
BET_MarketHV20_CSZ,0.0007983525764547513,0.0002610966028846441,0.0,0.00018987778447446968,0.0009304571216437364,0.0
BET_MarketHV20_SNZ,0.00014966432816574692,3.751830882108075e-05,0.0,0.00012620057709221885,1.1007724677061763e-05,0.0
BET_MarketVolChange_CSR,0.000127508141043587,0.00022518690406449533,0.0,0.0003050932704989617,0.0005432158847130987,0.00015776323673806773
BET_MarketVolChange_CSZ,0.0010319476125970385,0.0006743136378961152,7.942762924803963e-05,0.0003486466923559987,0.0016558401180723661,4.8619925227589134e-05
